ProductID,ProductName,Category,UnitPrice,QuantityInStock,Supplier,LastOrderDate,ReorderLevel
P001,Wireless Mouse,Electronics,24.99,45,TechWorld,2025-02-15,10
P002,Notebook (100 pages),Office Supplies,3.99,120,PaperCo,2025-01-20,30
P003,Coffee Maker,Kitchen Appliances,79.99,12,HomeEssentials,2025-03-01,5
P004,Ergonomic Keyboard,Electronics,59.99,18,TechWorld,2025-02-28,8
P005,Desk Lamp,Office Supplies,32.50,25,LightingPlus,2024-12-10,10
P006,External Hard Drive 1TB,Electronics,89.99,22,DataStorage,2025-01-05,7
P007,Printer Paper (500 sheets),Office Supplies,6.99,85,PaperCo,2025-02-12,20
P008,Bluetooth Speaker,Electronics,45.00,30,SoundMasters,2025-02-20,10
P009,Standing Desk,Furniture,249.99,8,OfficeComfort,2025-01-15,3
P010,Webcam HD,Electronics,69.99,15,TechWorld,2025-03-10,5
